date,sku,category,supplier,unit_cost,moq,order_cost,holding_cost_rate_annual,lead_time_days,demand,filled_demand,lost_sales,stockout,receipts,order_qty,inventory_level,on_order,inventory_position,rop,order_up_to,lost_sales_value,inventory_value
2024-01-19,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,29,29,0,0,0,0,215,0,215,200.0,550.0,0.0,5375.0
2024-01-20,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,39,39,0,0,0,374,176,374,550,200.0,550.0,0.0,4400.0
2024-01-21,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,38,38,0,0,0,0,138,374,512,200.0,550.0,0.0,3450.0
2024-01-22,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,48,48,0,0,0,0,90,374,464,200.0,550.0,0.0,2250.0
2024-01-23,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,36,36,0,0,374,0,428,0,428,200.0,550.0,0.0,10700.0
2024-01-24,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,48,48,0,0,0,0,380,0,380,200.0,550.0,0.0,9500.0
2024-01-25,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,46,46,0,0,0,0,334,0,334,200.0,550.0,0.0,8350.0
2024-01-26,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,49,49,0,0,0,0,285,0,285,200.0,550.0,0.0,7125.0
2024-01-27,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,47,47,0,0,0,0,238,0,238,200.0,550.0,0.0,5950.0
2024-01-28,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,53,53,0,0,0,365,185,365,550,200.0,550.0,0.0,4625.0
2024-01-29,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,49,49,0,0,0,0,136,365,501,200.0,550.0,0.0,3400.0
2024-01-30,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,49,49,0,0,0,0,87,365,452,200.0,550.0,0.0,2175.0
2024-01-31,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,47,47,0,0,0,0,40,365,405,200.0,550.0,0.0,1000.0
2024-02-01,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,47,47,0,0,365,0,358,0,358,200.0,550.0,0.0,8950.0
2024-02-02,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,56,56,0,0,0,0,302,0,302,200.0,550.0,0.0,7550.0
2024-02-03,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,69,69,0,0,0,0,233,0,233,200.0,550.0,0.0,5825.0
2024-02-04,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,45,45,0,0,0,362,188,362,550,200.0,550.0,0.0,4700.0
2024-02-05,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,58,58,0,0,0,0,130,362,492,200.0,550.0,0.0,3250.0
2024-02-06,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,54,54,0,0,0,0,76,362,438,200.0,550.0,0.0,1900.0
2024-02-07,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,51,51,0,0,0,0,25,362,387,200.0,550.0,0.0,625.0
2024-02-08,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,54,25,29,1,0,0,0,362,362,200.0,550.0,725.0,0.0
2024-02-09,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,55,55,0,0,362,0,307,0,307,200.0,550.0,0.0,7675.0
2024-02-10,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,50,50,0,0,0,0,257,0,257,200.0,550.0,0.0,6425.0
2024-02-11,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,50,50,0,0,0,0,207,0,207,200.0,550.0,0.0,5175.0
2024-02-12,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,51,51,0,0,0,394,156,394,550,200.0,550.0,0.0,3900.0
2024-02-13,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,71,71,0,0,0,0,85,394,479,200.0,550.0,0.0,2125.0
2024-02-14,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,55,55,0,0,0,0,30,394,424,200.0,550.0,0.0,750.0
2024-02-15,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,47,47,0,0,394,0,377,0,377,200.0,550.0,0.0,9425.0
2024-02-16,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,50,50,0,0,0,0,327,0,327,200.0,550.0,0.0,8175.0
2024-02-17,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,40,40,0,0,0,0,287,0,287,200.0,550.0,0.0,7175.0
2024-02-18,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,42,42,0,0,0,0,245,0,245,200.0,550.0,0.0,6125.0
2024-02-19,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,46,46,0,0,0,351,199,351,550,200.0,550.0,0.0,4975.0
2024-02-20,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,35,35,0,0,0,0,164,351,515,200.0,550.0,0.0,4100.0
2024-02-21,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,51,51,0,0,0,0,113,351,464,200.0,550.0,0.0,2825.0
2024-02-22,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,37,37,0,0,0,0,76,351,427,200.0,550.0,0.0,1900.0
2024-02-23,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,56,56,0,0,351,0,371,0,371,200.0,550.0,0.0,9275.0
2024-02-24,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,51,51,0,0,0,0,320,0,320,200.0,550.0,0.0,8000.0
2024-02-25,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,53,53,0,0,0,0,267,0,267,200.0,550.0,0.0,6675.0
2024-02-26,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,46,46,0,0,0,0,221,0,221,200.0,550.0,0.0,5525.0
2024-02-27,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,57,57,0,0,0,386,164,386,550,200.0,550.0,0.0,4100.0
2024-02-28,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,44,44,0,0,0,0,120,386,506,200.0,550.0,0.0,3000.0
2024-02-29,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,59,59,0,0,386,0,447,0,447,200.0,550.0,0.0,11175.0
2024-03-01,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,55,55,0,0,0,0,392,0,392,200.0,550.0,0.0,9800.0
2024-03-02,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,64,64,0,0,0,0,328,0,328,200.0,550.0,0.0,8200.0
2024-03-03,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,52,52,0,0,0,0,276,0,276,200.0,550.0,0.0,6900.0
2024-03-04,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,57,57,0,0,0,0,219,0,219,200.0,550.0,0.0,5475.0
2024-03-05,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,50,50,0,0,0,381,169,381,550,200.0,550.0,0.0,4225.0
2024-03-06,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,57,57,0,0,0,0,112,381,493,200.0,550.0,0.0,2800.0
2024-03-07,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,61,61,0,0,381,0,432,0,432,200.0,550.0,0.0,10800.0
2024-03-08,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,58,58,0,0,0,0,374,0,374,200.0,550.0,0.0,9350.0
2024-03-09,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,57,57,0,0,0,0,317,0,317,200.0,550.0,0.0,7925.0
2024-03-10,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,64,64,0,0,0,0,253,0,253,200.0,550.0,0.0,6325.0
2024-03-11,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,59,59,0,0,0,356,194,356,550,200.0,550.0,0.0,4850.0
2024-03-12,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,59,59,0,0,0,0,135,356,491,200.0,550.0,0.0,3375.0
2024-03-13,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,59,59,0,0,0,0,76,356,432,200.0,550.0,0.0,1900.0
2024-03-14,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,63,63,0,0,0,0,13,356,369,200.0,550.0,0.0,325.0
2024-03-15,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,66,13,53,1,0,0,0,356,356,200.0,550.0,1325.0,0.0
2024-03-16,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,36,36,0,0,356,0,320,0,320,200.0,550.0,0.0,8000.0
2024-03-17,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,43,43,0,0,0,0,277,0,277,200.0,550.0,0.0,6925.0
2024-03-18,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,43,43,0,0,0,0,234,0,234,200.0,550.0,0.0,5850.0
2024-03-19,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,46,46,0,0,0,362,188,362,550,200.0,550.0,0.0,4700.0
2024-03-20,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,38,38,0,0,0,0,150,362,512,200.0,550.0,0.0,3750.0
2024-03-21,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,48,48,0,0,0,0,102,362,464,200.0,550.0,0.0,2550.0
2024-03-22,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,47,47,0,0,362,0,417,0,417,200.0,550.0,0.0,10425.0
2024-03-23,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,49,49,0,0,0,0,368,0,368,200.0,550.0,0.0,9200.0
2024-03-24,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,45,45,0,0,0,0,323,0,323,200.0,550.0,0.0,8075.0
2024-03-25,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,46,46,0,0,0,0,277,0,277,200.0,550.0,0.0,6925.0
2024-03-26,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,54,54,0,0,0,0,223,0,223,200.0,550.0,0.0,5575.0
2024-03-27,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,35,35,0,0,0,362,188,362,550,200.0,550.0,0.0,4700.0
2024-03-28,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,46,46,0,0,0,0,142,362,504,200.0,550.0,0.0,3550.0
2024-03-29,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,56,56,0,0,0,0,86,362,448,200.0,550.0,0.0,2150.0
2024-03-30,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,47,47,0,0,0,0,39,362,401,200.0,550.0,0.0,975.0
2024-03-31,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,59,59,0,0,362,0,342,0,342,200.0,550.0,0.0,8550.0
2024-04-01,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,56,56,0,0,0,0,286,0,286,200.0,550.0,0.0,7150.0
2024-04-02,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,47,47,0,0,0,0,239,0,239,200.0,550.0,0.0,5975.0
2024-04-03,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,59,59,0,0,0,370,180,370,550,200.0,550.0,0.0,4500.0
2024-04-04,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,38,38,0,0,0,0,142,370,512,200.0,550.0,0.0,3550.0
2024-04-05,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,56,56,0,0,0,0,86,370,456,200.0,550.0,0.0,2150.0
2024-04-06,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,50,50,0,0,0,0,36,370,406,200.0,550.0,0.0,900.0
2024-04-07,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,62,36,26,1,0,0,0,370,370,200.0,550.0,650.0,0.0
2024-04-08,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,48,0,48,1,0,0,0,370,370,200.0,550.0,1200.0,0.0
2024-04-09,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,60,60,0,0,370,0,310,0,310,200.0,550.0,0.0,7750.0
2024-04-10,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,61,61,0,0,0,0,249,0,249,200.0,550.0,0.0,6225.0
2024-04-11,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,53,53,0,0,0,354,196,354,550,200.0,550.0,0.0,4900.0
2024-04-12,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,59,59,0,0,0,0,137,354,491,200.0,550.0,0.0,3425.0
2024-04-13,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,35,35,0,0,0,0,102,354,456,200.0,550.0,0.0,2550.0
2024-04-14,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,42,42,0,0,0,0,60,354,414,200.0,550.0,0.0,1500.0
2024-04-15,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,48,48,0,0,354,0,366,0,366,200.0,550.0,0.0,9150.0
2024-04-16,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,46,46,0,0,0,0,320,0,320,200.0,550.0,0.0,8000.0
2024-04-17,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,48,48,0,0,0,0,272,0,272,200.0,550.0,0.0,6800.0
2024-04-18,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,39,39,0,0,0,0,233,0,233,200.0,550.0,0.0,5825.0
2024-04-19,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,43,43,0,0,0,360,190,360,550,200.0,550.0,0.0,4750.0
2024-04-20,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,46,46,0,0,0,0,144,360,504,200.0,550.0,0.0,3600.0
2024-04-21,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,56,56,0,0,0,0,88,360,448,200.0,550.0,0.0,2200.0
2024-04-22,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,44,44,0,0,0,0,44,360,404,200.0,550.0,0.0,1100.0
2024-04-23,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,44,44,0,0,0,0,0,360,360,200.0,550.0,0.0,0.0
2024-04-24,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,50,0,50,1,0,0,0,360,360,200.0,550.0,1250.0,0.0
2024-04-25,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,38,38,0,0,360,0,322,0,322,200.0,550.0,0.0,8050.0
2024-04-26,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,42,42,0,0,0,0,280,0,280,200.0,550.0,0.0,7000.0
2024-04-27,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,55,55,0,0,0,0,225,0,225,200.0,550.0,0.0,5625.0
2024-04-28,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,43,43,0,0,0,368,182,368,550,200.0,550.0,0.0,4550.0
2024-04-29,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,54,54,0,0,0,0,128,368,496,200.0,550.0,0.0,3200.0
2024-04-30,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,50,50,0,0,0,0,78,368,446,200.0,550.0,0.0,1950.0
2024-05-01,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,50,50,0,0,368,0,396,0,396,200.0,550.0,0.0,9900.0
2024-05-02,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,48,48,0,0,0,0,348,0,348,200.0,550.0,0.0,8700.0
2024-05-03,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,49,49,0,0,0,0,299,0,299,200.0,550.0,0.0,7475.0
2024-05-04,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,57,57,0,0,0,0,242,0,242,200.0,550.0,0.0,6050.0
2024-05-05,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,68,68,0,0,0,376,174,376,550,200.0,550.0,0.0,4350.0
2024-05-06,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,54,54,0,0,0,0,120,376,496,200.0,550.0,0.0,3000.0
2024-05-07,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,59,59,0,0,0,0,61,376,437,200.0,550.0,0.0,1525.0
2024-05-08,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,45,45,0,0,0,0,16,376,392,200.0,550.0,0.0,400.0
2024-05-09,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,60,16,44,1,0,0,0,376,376,200.0,550.0,1100.0,0.0
2024-05-10,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,40,40,0,0,376,0,336,0,336,200.0,550.0,0.0,8400.0
2024-05-11,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,51,51,0,0,0,0,285,0,285,200.0,550.0,0.0,7125.0
2024-05-12,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,57,57,0,0,0,0,228,0,228,200.0,550.0,0.0,5700.0
2024-05-13,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,41,41,0,0,0,363,187,363,550,200.0,550.0,0.0,4675.0
2024-05-14,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,44,44,0,0,0,0,143,363,506,200.0,550.0,0.0,3575.0
2024-05-15,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,53,53,0,0,0,0,90,363,453,200.0,550.0,0.0,2250.0
2024-05-16,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,41,41,0,0,0,0,49,363,412,200.0,550.0,0.0,1225.0
2024-05-17,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,43,43,0,0,0,0,6,363,369,200.0,550.0,0.0,150.0
2024-05-18,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,46,6,40,1,0,0,0,363,363,200.0,550.0,1000.0,0.0
2024-05-19,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,32,32,0,0,363,0,331,0,331,200.0,550.0,0.0,8275.0
2024-05-20,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,38,38,0,0,0,0,293,0,293,200.0,550.0,0.0,7325.0
2024-05-21,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,37,37,0,0,0,0,256,0,256,200.0,550.0,0.0,6400.0
2024-05-22,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,47,47,0,0,0,0,209,0,209,200.0,550.0,0.0,5225.0
2024-05-23,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,48,48,0,0,0,389,161,389,550,200.0,550.0,0.0,4025.0
2024-05-24,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,61,61,0,0,0,0,100,389,489,200.0,550.0,0.0,2500.0
2024-05-25,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,33,33,0,0,0,0,67,389,456,200.0,550.0,0.0,1675.0
2024-05-26,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,64,64,0,0,0,0,3,389,392,200.0,550.0,0.0,75.0
2024-05-27,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,35,3,32,1,0,0,0,389,389,200.0,550.0,800.0,0.0
2024-05-28,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,36,36,0,0,389,0,353,0,353,200.0,550.0,0.0,8825.0
2024-05-29,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,54,54,0,0,0,0,299,0,299,200.0,550.0,0.0,7475.0
2024-05-30,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,56,56,0,0,0,0,243,0,243,200.0,550.0,0.0,6075.0
2024-05-31,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,38,38,0,0,0,0,205,0,205,200.0,550.0,0.0,5125.0
2024-06-01,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,51,51,0,0,0,396,154,396,550,200.0,550.0,0.0,3850.0
2024-06-02,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,55,55,0,0,0,0,99,396,495,200.0,550.0,0.0,2475.0
2024-06-03,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,51,51,0,0,0,0,48,396,444,200.0,550.0,0.0,1200.0
2024-06-04,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,58,48,10,1,0,0,0,396,396,200.0,550.0,250.0,0.0
2024-06-05,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,60,0,60,1,0,0,0,396,396,200.0,550.0,1500.0,0.0
2024-06-06,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,70,70,0,0,396,0,326,0,326,200.0,550.0,0.0,8150.0
2024-06-07,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,55,55,0,0,0,0,271,0,271,200.0,550.0,0.0,6775.0
2024-06-08,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,55,55,0,0,0,0,216,0,216,200.0,550.0,0.0,5400.0
2024-06-09,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,57,57,0,0,0,391,159,391,550,200.0,550.0,0.0,3975.0
2024-06-10,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,61,61,0,0,0,0,98,391,489,200.0,550.0,0.0,2450.0
2024-06-11,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,50,50,0,0,391,0,439,0,439,200.0,550.0,0.0,10975.0
2024-06-12,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,60,60,0,0,0,0,379,0,379,200.0,550.0,0.0,9475.0
2024-06-13,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,41,41,0,0,0,0,338,0,338,200.0,550.0,0.0,8450.0
2024-06-14,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,57,57,0,0,0,0,281,0,281,200.0,550.0,0.0,7025.0
2024-06-15,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,49,49,0,0,0,0,232,0,232,200.0,550.0,0.0,5800.0
2024-06-16,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,51,51,0,0,0,369,181,369,550,200.0,550.0,0.0,4525.0
2024-06-17,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,44,44,0,0,0,0,137,369,506,200.0,550.0,0.0,3425.0
2024-06-18,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,44,44,0,0,0,0,93,369,462,200.0,550.0,0.0,2325.0
2024-06-19,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,44,44,0,0,369,0,418,0,418,200.0,550.0,0.0,10450.0
2024-06-20,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,6,44,44,0,0,0,0,374,0,374,200.0,550.0,0.0,9350.0
2024-06-21,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,45,45,0,0,0,0,329,0,329,200.0,550.0,0.0,8225.0
2024-06-22,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,3,53,53,0,0,0,0,276,0,276,200.0,550.0,0.0,6900.0
2024-06-23,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,4,40,40,0,0,0,0,236,0,236,200.0,550.0,0.0,5900.0
2024-06-24,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,34,34,0,0,0,0,202,0,202,200.0,550.0,0.0,5050.0
2024-06-25,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,5,46,46,0,0,0,394,156,394,550,200.0,550.0,0.0,3900.0
2024-06-26,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,43,43,0,0,0,0,113,394,507,200.0,550.0,0.0,2825.0
2024-06-27,SKU_A,Fast Movers,supplier_1,25.0,75,45.0,0.22,2,64,64,0,0,0,0,49,394,443,200.0,550.0,0.0,1225.0
